t, v, gamma, h
-226.58, 6053.32, -1.11819, 1.01857e+06
-226.48, 6053.38, -1.11812, 1.01802e+06
-226.38, 6053.44, -1.11806, 1.01748e+06
-226.28, 6053.5, -1.11799, 1.01693e+06
-226.18, 6053.57, -1.11792, 1.01639e+06
-226.08, 6053.63, -1.11785, 1.01585e+06
-225.98, 6053.69, -1.11778, 1.0153e+06
-225.88, 6053.76, -1.11771, 1.01476e+06
-225.78, 6053.82, -1.11764, 1.01421e+06
-225.68, 6053.88, -1.11757, 1.01367e+06
-225.58, 6053.94, -1.11751, 1.01312e+06
-225.48, 6054.01, -1.11744, 1.01258e+06
-225.38, 6054.07, -1.11737, 1.01204e+06
-225.28, 6054.13, -1.1173, 1.01149e+06
-225.18, 6054.19, -1.11723, 1.01095e+06
-225.08, 6054.26, -1.11716, 1.0104e+06
-224.98, 6054.32, -1.11709, 1.00986e+06
-224.88, 6054.38, -1.11702, 1.00931e+06
-224.78, 6054.45, -1.11695, 1.00877e+06
-224.68, 6054.51, -1.11688, 1.00823e+06
-224.58, 6054.57, -1.11682, 1.00768e+06
-224.48, 6054.63, -1.11675, 1.00714e+06
-224.38, 6054.7, -1.11668, 1.00659e+06
-224.28, 6054.76, -1.11661, 1.00605e+06
-224.18, 6054.82, -1.11654, 1.00551e+06
-224.08, 6054.89, -1.11647, 1.00496e+06
-223.98, 6054.95, -1.1164, 1.00442e+06
-223.88, 6055.01, -1.11633, 1.00387e+06
-223.78, 6055.07, -1.11626, 1.00333e+06
-223.68, 6055.14, -1.11619, 1.00279e+06
-223.58, 6055.2, -1.11612, 1.00224e+06
-223.48, 6055.26, -1.11605, 1.0017e+06
-223.38, 6055.33, -1.11599, 1.00115e+06
-223.28, 6055.39, -1.11592, 1.00061e+06
-223.18, 6055.45, -1.11585, 1.00007e+06
-223.08, 6055.52, -1.11578, 999522
-222.98, 6055.58, -1.11571, 998978
-222.88, 6055.64, -1.11564, 998434
-222.78, 6055.7, -1.11557, 997890
-222.68, 6055.77, -1.1155, 997346
-222.58, 6055.83, -1.11543, 996802
-222.48, 6055.89, -1.11536, 996258
-222.38, 6055.96, -1.11529, 995714
-222.28, 6056.02, -1.11522, 995171
-222.18, 6056.08, -1.11515, 994627
-222.08, 6056.15, -1.11508, 994083
-221.98, 6056.21, -1.11501, 993539
-221.88, 6056.27, -1.11494, 992995
-221.78, 6056.34, -1.11487, 992452
-221.68, 6056.4, -1.1148, 991908
-221.58, 6056.46, -1.11473, 991364
-221.48, 6056.53, -1.11467, 990820
-221.38, 6056.59, -1.1146, 990277
-221.28, 6056.65, -1.11453, 989733
-221.18, 6056.72, -1.11446, 989189
-221.08, 6056.78, -1.11439, 988646
-220.98, 6056.84, -1.11432, 988102
-220.88, 6056.91, -1.11425, 987558
-220.78, 6056.97, -1.11418, 987015
-220.68, 6057.03, -1.11411, 986471
-220.58, 6057.1, -1.11404, 985927
-220.48, 6057.16, -1.11397, 985384
-220.38, 6057.23, -1.1139, 984840
-220.28, 6057.29, -1.11383, 984296
-220.18, 6057.35, -1.11376, 983753
-220.08, 6057.42, -1.11369, 983209
-219.98, 6057.48, -1.11362, 982666
-219.88, 6057.54, -1.11355, 982122
-219.78, 6057.61, -1.11348, 981579
-219.68, 6057.67, -1.11341, 981035
-219.58, 6057.73, -1.11334, 980492
-219.48, 6057.8, -1.11327, 979948
-219.38, 6057.86, -1.1132, 979405
-219.28, 6057.93, -1.11313, 978861
-219.18, 6057.99, -1.11306, 978318
-219.08, 6058.05, -1.11299, 977774
-218.98, 6058.12, -1.11292, 977231
-218.88, 6058.18, -1.11285, 976688
-218.78, 6058.24, -1.11278, 976144
-218.68, 6058.31, -1.11271, 975601
-218.58, 6058.37, -1.11264, 975058
-218.48, 6058.44, -1.11257, 974514
-218.38, 6058.5, -1.1125, 973971
-218.28, 6058.56, -1.11242, 973428
-218.18, 6058.63, -1.11235, 972884
-218.08, 6058.69, -1.11228, 972341
-217.98, 6058.76, -1.11221, 971798
-217.88, 6058.82, -1.11214, 971254
-217.78, 6058.88, -1.11207, 970711
-217.68, 6058.95, -1.112, 970168
-217.58, 6059.01, -1.11193, 969625
-217.48, 6059.08, -1.11186, 969081
-217.38, 6059.14, -1.11179, 968538
-217.28, 6059.2, -1.11172, 967995
-217.18, 6059.27, -1.11165, 967452
-217.08, 6059.33, -1.11158, 966909
-216.98, 6059.4, -1.11151, 966366
-216.88, 6059.46, -1.11144, 965822
-216.78, 6059.52, -1.11137, 965279
-216.68, 6059.59, -1.1113, 964736
-216.58, 6059.65, -1.11123, 964193
-216.48, 6059.72, -1.11116, 963650
-216.38, 6059.78, -1.11108, 963107
-216.28, 6059.85, -1.11101, 962564
-216.18, 6059.91, -1.11094, 962021
-216.08, 6059.97, -1.11087, 961478
-215.98, 6060.04, -1.1108, 960935
-215.88, 6060.1, -1.11073, 960392
-215.78, 6060.17, -1.11066, 959849
-215.68, 6060.23, -1.11059, 959306
-215.58, 6060.3, -1.11052, 958763
-215.48, 6060.36, -1.11045, 958220
-215.38, 6060.42, -1.11038, 957677
-215.28, 6060.49, -1.1103, 957134
-215.18, 6060.55, -1.11023, 956591
-215.08, 6060.62, -1.11016, 956048
-214.98, 6060.68, -1.11009, 955505
-214.88, 6060.75, -1.11002, 954962
-214.78, 6060.81, -1.10995, 954420
-214.68, 6060.88, -1.10988, 953877
-214.58, 6060.94, -1.10981, 953334
-214.48, 6061, -1.10974, 952791
-214.38, 6061.07, -1.10967, 952248
-214.28, 6061.13, -1.10959, 951705
-214.18, 6061.2, -1.10952, 951163
-214.08, 6061.26, -1.10945, 950620
-213.98, 6061.33, -1.10938, 950077
-213.88, 6061.39, -1.10931, 949534
-213.78, 6061.46, -1.10924, 948992
-213.68, 6061.52, -1.10917, 948449
-213.58, 6061.59, -1.1091, 947906
-213.48, 6061.65, -1.10902, 947364
